"iata","name","city","country","country_code","lat","lon","timezone"
"RFK","Rollang Field","Rolling Fork","US","US","32.953543","-90.845144","UTC"
"RFN","Raufarhöfn Airport","Raufarhöfn","IS","IS","66.406403","-15.9183","UTC"
"RFP","Raiatea Airport","Uturoa","PF","PF","-16.7229","-151.466003","Pacific/Tahiti"
"RFR","Rio Frio / Progreso Airport","Rio Frio / Progreso","CR","CR","10.327400207519531","-83.88760375976562","UTC"
"RFS","Rosita Airport","La Rosita","NI","NI","13.889699935913086","-84.40889739990234","America/Managua"
"RGA","Hermes Quijada International Airport","Rio Grande","AR","AR","-53.7777","-67.7494","America/Argentina/Ushuaia"
"RGH","Balurghat Airport","Balurghat","IN","IN","25.2617","88.795601","UTC"
"RGI","Rangiroa Airport","RGI","PF","PF","-14.954299926757812","-147.66099548339844","Pacific/Tahiti"
"RGK","Gorno-Altaysk Airport","Gorno-Altaysk","RU","RU","51.969204","85.836539","Asia/Krasnoyarsk"
"RGL","Piloto Civil Norberto Fernández International Airport","Rio Gallegos","AR","AR","-51.608791","-69.308948","America/Argentina/Rio_Gallegos"
"RGN","Yangon International Airport","Yangon","MM","MM","16.907300949099998","96.1332015991","Asia/Rangoon"
"RGO","Orang (Chongjin) Airport","Hoemun-ri","KP","KP","41.428538","129.647555","Asia/Pyongyang"
"RGR","Ranger Municipal Airport","Ranger","US","US","32.4525985718","-98.682800293","UTC"
"RGS","Burgos Airport","Burgos","ES","ES","42.357601","-3.62076","Europe/Madrid"
"RGT","Japura Airport","Rengat-Sumatra Island","ID","ID","-0.352808","102.334999","Asia/Jakarta"
"RHA","Reykhólar Airport","Reykhólar","IS","IS","65.45262908935547","-22.20611572265625","UTC"
"RHD","Termas de Río Hondo international Airport","Termas de Río Hondo","AR","AR","-27.4966","-64.93595","America/Cordoba"
"RHG","Ruhengeri Airport","Ruhengeri","RW","RW","-1.496873","29.631343","UTC"
"RHI","Rhinelander Oneida County Airport","Rhinelander","US","US","45.63119888305664","-89.46749877929688","America/Chicago"
"RHL","Roy Hill Station Airport","RHL","AU","AU","-22.625815891","119.959030151","UTC"
"RHN","Skorpion Mine Airport","Rosh Pinah","NA","NA","-27.8764","16.6478","UTC"
"RHO","Rhodes International Airport ""Diagoras""","Rhodes","GR","GR","36.405399","28.086201","Europe/Athens"
"RHP","Ramechhap Airport","Ramechhap","NP","NP","27.393999","86.061401","Asia/Katmandu"
"RHT","Alxa Right Banner Badanjilin Airport","Badanjilin","CN","CN","39.225","101.546","\N"
"RHV","Reid-Hillview Airport of Santa Clara County","San Jose","US","US","37.332901001","-121.819000244","\N"
"RIA","Santa Maria Airport","Santa Maria","BR","BR","-29.711399","-53.688202","America/Sao_Paulo"
"RIB","Capitán Av. Selin Zeitun Lopez Airport","Riberalta","BO","BO","-11.009355","-66.075468","America/La_Paz"
"RIC","Richmond International Airport","Richmond","US","US","37.505199","-77.319702","America/New_York"
"RID","Richmond Municipal Airport","Richmond","US","US","39.757198","-84.842796","UTC"
"RIE","Rice Lake Regional Airport - Carl's Field","Rice Lake","US","US","45.423024","-91.773127","UTC"
"RIF","Richfield Municipal Airport","Richfield","US","US","38.734068","-112.101603","UTC"
"RIG","Rio Grande Regional Airport","Rio Grande","BR","BR","-32.083065","-52.167184","UTC"
"RIH","Scarlett Martinez International Airport","Río Hato","PA","PA","8.375880241394","-80.127899169922","\N"
"RIJ","Juan Simons Vela Airport","Rioja","PE","PE","-6.06786","-77.160004","\N"
"RIL","Garfield County Regional Airport","Rifle","US","US","39.526299","-107.726997","America/Denver"
"RIM","San Nicolas Airport","Rodriguez de Mendoza","PE","PE","-6.39231","-77.501198","UTC"
"RIN","Ringi Cove Airport","Ringi Cove","SB","SB","-8.12639045715332","157.14300537109375","Pacific/Guadalcanal"
"RIR","Flabob Airport","Riverside","US","US","33.9897","-117.411003","UTC"
"RIS","Rishiri Airport","Rishiri","JP","JP","45.2420005798","141.186004639","Asia/Tokyo"
"RIV","March Air Reserve Base","Riverside","US","US","33.880699","-117.259003","America/Los_Angeles"
"RIW","Central Wyoming Regional Airport","Riverton","US","US","43.064201","-108.459999","America/Denver"
"RIX","Riga International Airport","Riga","LV","LV","56.920752","23.970711","Europe/Riga"
"RIY","Riyan International Airport","Mukalla(Riyan)","YE","YE","14.662241","49.375289","Asia/Aden"
"RIZ","Rizhao Shanzihe Airport","Rizhao (Donggang)","CN","CN","35.405033","119.324403","\N"
"RJA","Rajahmundry Airport","Madhurapudi","IN","IN","17.105799","81.813204","Asia/Calcutta"
"RJB","Rajbiraj Airport","Rajbiraj","NP","NP","26.510066","86.733902","\N"
"RJH","Shah Makhdum Airport","Rajshahi","BD","BD","24.437201","88.616501","Asia/Dhaka"
"RJI","Rajouri Airport","Rajouri","IN","IN","33.377899","74.315201","UTC"
"RJK","Rijeka Airport","Rijeka(Omišalj)","HR","HR","45.216376","14.57085","Europe/Zagreb"
"RJL","Logroño-Agoncillo Airport","Logroño","ES","ES","42.460953","-2.322235","Europe/Madrid"
"RJM","Marinda Airport","Waisai","ID","ID","-0.423056","130.773333","UTC"
"RJN","Rafsanjan Airport","Rafsanjan","IR","IR","30.298345","56.048979","Asia/Tehran"
"RKA","Aratika Nord Airport","RKA","PF","PF","-15.485673","-145.464778","UTC"
"RKD","Knox County Regional Airport","Rockland","US","US","44.060101","-69.099197","America/New_York"
"RKE","Copenhagen Roskilde Airport","Roskilde","DK","DK","55.585602","12.1314","Europe/Copenhagen"
"RKH","Rock Hill - York County Airport","Rock Hill","US","US","34.9878006","-81.05719757","America/New_York"
"RKI","Mentawai Airport","Sipura Island","ID","ID","-2.094167","99.699167","UTC"
"RKP","Aransas County Airport","Rockport","US","US","28.0867996216","-97.0446014404","America/Chicago"
"RKR","Robert S Kerr Airport","Poteau","US","US","35.021599","-94.6213","UTC"
"RKS","Southwest Wyoming Regional Airport","Rock Springs","US","US","41.5942","-109.065001","America/Denver"
"RKT","Ras Al Khaimah International Airport","Ras Al Khaimah","AE","AE","25.613501","55.938801","Asia/Dubai"
"RKU","Kairuku Airport","Yule Island","PG","PG","-8.817000054","146.5243833","UTC"
"RKV","Reykjavík Domestic Airport","Reykjavík","IS","IS","64.128732","-21.93759","Atlantic/Reykjavik"
"RKW","Rockwood Municipal Airport","Rockwood","US","US","35.9222984314","-84.6896972656","UTC"
"RKY","Rokeby Airport","Rokeby","AU","AU","-13.6434","142.641","UTC"
"RKZ","Xigaze Peace Airport / Shigatse Air Base","Xigazê (Samzhubzê)","CN","CN","29.350876","89.299157","Asia/Shanghai"
"RLA","Rolla Downtown Airport","Rolla","US","US","37.935699","-91.813499","UTC"
"RLD","Richland Airport","Richland","US","US","46.305599","-119.304001","UTC"
"RLG","Rostock-Laage Airport","Laage","DE","DE","53.918201","12.2783","Europe/Berlin"
"RLK","Bayannur Tianjitai Airport","Bayannur","CN","CN","40.926358","107.74093","Asia/Shanghai"
"RLO","Valle Del Conlara International Airport","Merlo","AR","AR","-32.384701","-65.186501","UTC"
"RLP","Rosella Plains Airport","Rosella Plains","AU","AU","-18.4253","144.4587","UTC"
"RLR","Relais de la Reine Airport","Isalo","MG","MG","-22.645343","45.323914","UTC"
"RLT","Arlit Airport","Arlit","NE","NE","18.7903995514","7.36595010757","UTC"
"RMA","Roma Airport","Roma","AU","AU","-26.545000076300003","148.774993896","Australia/Brisbane"
"RMB","Buraimi Airport","Buraimi","OM","OM","24.241626","55.783674","UTC"
"RMD","Basanth Nagar Airport","Ramagundam","IN","IN","18.701","79.3923","UTC"
"RME","Griffiss International Airport","Rome","US","US","43.23379898","-75.40699768","America/New_York"
"RMF","Marsa Alam International Airport","Marsa Alam","EG","EG","25.555548","34.59245","Africa/Cairo"
"RMG","Richard B Russell Airport","Rome","US","US","34.3506011963","-85.15799713130001","America/New_York"
"RMI","Federico Fellini International Airport","Rimini (RN)","IT","IT","44.020024","12.612198","Europe/Rome"
"RMK","Renmark Airport","RMK","AU","AU","-34.1964","140.673996","Australia/Adelaide"
"RML","Colombo Ratmalana International Airport","Colombo","LK","LK","6.821638","79.885859","Asia/Colombo"
"RMN","Rumginae Airport","RMN","PG","PG","-5.89722222222","141.271666667","UTC"
"RMO","Chişinău International Airport","Chişinău","MD","MD","46.92774","28.931704","UTC"
"RMP","Rampart Airport","Rampart","US","US","65.507896","-150.141007","UTC"
"RMQ","Taichung International Airport / Ching Chuang Kang Air Base","Taichung (Qingshui)","TW","TW","24.2647","120.621002","Asia/Taipei"
"RMS","Ramstein Air Base","Ramstein-Miesenbach","DE","DE","49.436901","7.60028","Europe/Berlin"
"RMT","Rimatara Airport","Rimatara Island","PF","PF","-22.63725","-152.8059","\N"
"RMU","Region of Murcia International Airport","Corvera","ES","ES","37.802852","-1.124884","\N"
"RMY","Mariposa Yosemite Airport","Mariposa","US","US","37.5108985901","-120.040000916","America/Los_Angeles"
"RMZ","Tobolsk Remezov Airport","Tobolsk","RU","RU","58.059712","68.347997","UTC"
"RNA","Ulawa Airport","Arona","SB","SB","-9.86054358262","161.979546547","Pacific/Guadalcanal"
"RNB","Ronneby Airport","Ronneby","SE","SE","56.266701","15.265","Europe/Stockholm"
"RNC","Warren County Memorial Airport","Mc Minnville","US","US","35.69869995","-85.84380341","UTC"
"RND","Randolph Air Force Base","Universal City","US","US","29.529699","-98.2789","America/Chicago"
"RNE","Roanne-Renaison Airport","Saint-Léger-sur-Roanne","FR","FR","46.053818","3.999023","Europe/Paris"
"RNH","New Richmond Regional Airport","New Richmond","US","US","45.1483","-92.538101","UTC"
"RNI","Corn Island Airport","Corn Island","NI","NI","12.174785","-83.059445","America/Managua"
"RNJ","Yoron Airport","Yoron","JP","JP","27.043847","128.401648","Asia/Tokyo"
"RNL","Rennell/Tingoa Airport","Rennell Island","SB","SB","-11.55","160.062778","Pacific/Guadalcanal"
"RNM","Qarn Alam Airport","Ghaba","OM","OM","21.377199","57.056293","UTC"
"RNN","Bornholm Airport","Rønne","DK","DK","55.063301","14.7596","Europe/Copenhagen"
"RNO","Reno Tahoe International Airport","Reno","US","US","39.4991","-119.767998","America/Los_Angeles"
"RNP","Rongelap Island Airport","Rongelap Island","MH","MH","11.1572","166.886993","UTC"
"RNS","Rennes-Saint-Jacques Airport","Saint-Jacques-de-la-Lande, Ille-et-Vilaine","FR","FR","48.0695","-1.73479","Europe/Paris"
"RNT","Renton Municipal Airport","Renton","US","US","47.4930992126","-122.216003418","America/Los_Angeles"
"RNU","Ranau Airport","Ranau","MY","MY","5.957793","116.680191","UTC"
"RNZ","Jasper County Airport","Rensselaer","US","US","40.9478988647","-87.1826019287","\N"
"ROA","Roanoke–Blacksburg Regional Airport","Roanoke","US","US","37.3255","-79.975403","America/New_York"
